model,framework,trial,compile_attempts,total_build_runs,reached_build_success
claude-fable-5,spring,01,1,2,true
claude-fable-5,spring,02,1,1,true
claude-fable-5,spring,03,1,1,true
claude-fable-5,spring,04,2,2,true
claude-fable-5,spring,05,1,2,true
claude-fable-5,spring-fix,01,2,3,true
claude-fable-5,spring-fix,02,1,1,true
claude-fable-5,spring-fix,03,2,2,true
claude-fable-5,spring-fix,04,2,2,true
claude-fable-5,spring-fix,05,2,2,true
claude-fable-5,spring3,01,2,2,true
claude-fable-5,spring3-fix,01,1,1,true
claude-fable-5,spring3-fix,02,2,2,true
claude-fable-5,spring3-fix,03,1,1,true
claude-fable-5,spring3-fix,04,1,1,true
claude-fable-5,spring3-fix,05,1,1,true
claude-fable-5,tiko,01,2,2,true
claude-fable-5,tiko,02,2,2,true
claude-fable-5,tiko,03,1,2,true
claude-fable-5,tiko,04,2,2,true
claude-fable-5,tiko,05,3,3,true
claude-fable-5,tiko-030,01,2,2,true
claude-fable-5,tiko-030,02,2,2,true
claude-fable-5,tiko-030,03,2,2,true
claude-fable-5,tiko-030,04,2,3,true
claude-fable-5,tiko-030,05,3,3,true
claude-fable-5,tiko-mcp,01,1,2,true
claude-fable-5,tiko-mcp,02,3,3,true
claude-fable-5,tiko-mcp,03,2,2,true
claude-fable-5,tiko-mcp,04,2,2,false
claude-fable-5,tiko-mcp,05,3,3,true
claude-opus-4-8,spring,01,3,3,true
claude-opus-4-8,spring,02,1,1,true
claude-opus-4-8,spring,03,5,9,true
claude-opus-4-8,spring,04,1,4,true
claude-opus-4-8,spring,05,3,6,true
claude-opus-4-8,spring,0N,0,0,false
claude-opus-4-8,spring-fix,01,3,3,true
claude-opus-4-8,spring-fix,02,3,3,true
claude-opus-4-8,spring-fix,03,2,2,true
claude-opus-4-8,spring-fix,04,3,3,true
claude-opus-4-8,spring-fix,05,3,3,true
claude-opus-4-8,spring-free,01,2,3,true
claude-opus-4-8,spring-free,02,1,2,true
claude-opus-4-8,spring-free,03,1,1,true
claude-opus-4-8,spring-free,04,3,3,true
claude-opus-4-8,spring-free,05,1,1,true
claude-opus-4-8,spring3,01,1,1,true
claude-opus-4-8,spring3-fix,01,3,3,true
claude-opus-4-8,spring3-fix,02,2,2,true
claude-opus-4-8,spring3-fix,03,1,1,true
claude-opus-4-8,tiko,01,2,5,true
claude-opus-4-8,tiko,02,2,2,true
claude-opus-4-8,tiko,03,2,6,true
claude-opus-4-8,tiko,04,3,5,true
claude-opus-4-8,tiko,05,3,6,true
claude-opus-4-8,tiko,0N,0,0,false
claude-opus-4-8,tiko-030,01,3,3,true
claude-opus-4-8,tiko-030,02,1,1,true
claude-opus-4-8,tiko-030,03,1,2,true
claude-opus-4-8,tiko-030,04,4,5,true
claude-opus-4-8,tiko-030,05,2,2,true
claude-opus-4-8,tiko-mcp,01,2,4,true
claude-opus-4-8,tiko-mcp,02,2,4,true
claude-opus-4-8,tiko-mcp,03,3,3,true
claude-opus-4-8,tiko-mcp,04,2,4,true
claude-opus-4-8,tiko-mcp,05,2,4,true
claude-opus-4-8,tiko-mcp,0N,0,0,false
claude-opus-4-8,tiko-v3,01,4,4,true
claude-opus-4-8,tiko-v3,02,4,5,true
claude-opus-4-8,tiko-v3,03,2,3,true
claude-opus-4-8,tiko-v3,04,2,3,true
claude-opus-4-8,tiko-v3,05,2,2,true
claude-sonnet-4-6,spring-fix,01,2,2,true
claude-sonnet-4-6,spring-fix,02,2,2,true
claude-sonnet-4-6,spring-fix,03,2,2,true
claude-sonnet-4-6,spring-fix,04,2,2,true
claude-sonnet-4-6,spring-fix,05,2,2,true
claude-sonnet-4-6,spring3-fix,01,1,1,true
claude-sonnet-4-6,spring3-fix,02,1,1,true
claude-sonnet-4-6,spring3-fix,03,1,1,true
claude-sonnet-5,spring-fix,01,2,2,true
claude-sonnet-5,spring-fix,02,2,2,true
claude-sonnet-5,spring-fix,03,2,2,true
claude-sonnet-5,spring-fix,04,2,2,true
claude-sonnet-5,spring-fix,05,2,3,true
claude-sonnet-5,spring3-fix,01,1,1,true
claude-sonnet-5,spring3-fix,02,2,2,true
claude-sonnet-5,spring3-fix,03,1,1,true
claude-sonnet-5,spring3-fix,04,2,2,true
claude-sonnet-5,spring3-fix,05,1,1,true
claude-sonnet-5,tiko-030,01,2,5,true
claude-sonnet-5,tiko-030,02,3,4,true
claude-sonnet-5,tiko-030,03,2,4,true
claude-sonnet-5,tiko-030,04,1,2,true
claude-sonnet-5,tiko-030,05,1,2,true
