model,framework,trial,dispatches,output_tokens,tool_uses,duration_ms
claude-fable-5,spring3,01,1,45974,26,234488
claude-fable-5,spring,01,1,65367,40,507816
claude-fable-5,spring,02,1,75157,42,605775
claude-fable-5,spring,03,1,68897,40,554431
claude-fable-5,spring,04,1,61673,33,499473
claude-fable-5,spring,05,1,62876,31,430259
claude-fable-5,tiko-mcp,01,1,60493,19,6837070
claude-fable-5,tiko-mcp,02,1,76475,32,6807769
claude-fable-5,tiko-mcp,03,1,89330,40,6473300
claude-fable-5,tiko-mcp,04,1,0,26,1103103
claude-fable-5,tiko-mcp,05,1,97745,49,7298940
claude-fable-5,tiko,01,1,123854,57,529589
claude-fable-5,tiko,02,1,119615,56,630576
claude-fable-5,tiko,03,1,125950,60,606871
claude-fable-5,tiko,04,1,108446,53,534988
claude-fable-5,tiko,05,1,113539,61,642199
claude-opus-4-8,spring3,01,1,50577,30,258379
claude-opus-4-8,spring,01,1,56328,34,286428
claude-opus-4-8,spring,02,1,66372,46,550811
claude-opus-4-8,spring,03,1,89670,66,772986
claude-opus-4-8,spring,04,1,72461,47,517869
claude-opus-4-8,spring,05,1,72632,51,534561
claude-opus-4-8,tiko-mcp,01,1,124097,83,1490736
claude-opus-4-8,tiko-mcp,02,1,128988,79,1372548
claude-opus-4-8,tiko-mcp,03,1,131374,81,1122362
claude-opus-4-8,tiko-mcp,04,1,0,26,162573
claude-opus-4-8,tiko-mcp,05,1,113327,73,1219883
claude-opus-4-8,tiko,01,1,103704,66,400408
claude-opus-4-8,tiko,02,1,107116,58,354523
claude-opus-4-8,tiko,03,1,137818,75,550892
claude-opus-4-8,tiko,04,1,114558,58,528155
claude-opus-4-8,tiko,05,1,101403,55,304564
claude-sonnet-4-6,spring3,01,1,34150,29,207732
claude-sonnet-4-6,spring,01,1,31822,29,205217
claude-sonnet-4-6,spring,02,1,32130,28,175243
claude-sonnet-4-6,spring,03,1,37359,33,266246
claude-sonnet-4-6,spring,04,1,44817,45,353837
claude-sonnet-4-6,spring,05,1,31423,27,163303
claude-sonnet-4-6,tiko-mcp,01,1,106768,124,1792023
claude-sonnet-4-6,tiko-mcp,02,1,102645,104,2153668
claude-sonnet-4-6,tiko-mcp,03,1,0,107,1831504
claude-sonnet-4-6,tiko-mcp,04,1,117206,102,2618581
claude-sonnet-4-6,tiko-mcp,05,1,80948,68,2026746
claude-sonnet-4-6,tiko,01,1,123672,134,1244841
claude-sonnet-4-6,tiko,02,1,95369,80,695532
claude-sonnet-4-6,tiko,03,1,109080,94,697070
claude-sonnet-4-6,tiko,04,1,104914,88,684620
claude-sonnet-4-6,tiko,05,1,117486,87,655565
