timestamp,model,framework,stage,trial,compliance,wall_clock_seconds,output_tokens,agent_turns,tool_calls,cost_usd
2026-06-08T19:36:00Z,claude-sonnet-4-6,spring,stage-1,01,0,,4663,,29,0.331
2026-06-08T19:39:00Z,claude-sonnet-4-6,spring,stage-1,02,0,,2867,,28,0.336
2026-06-08T19:42:00Z,claude-sonnet-4-6,spring,stage-1,03,0,,2897,,33,0.397
2026-06-08T19:44:00Z,claude-sonnet-4-6,spring,stage-1,04,0,,3696,,45,0.543
2026-06-08T19:48:00Z,claude-sonnet-4-6,spring,stage-1,05,100,,3362,,27,0.234
2026-06-08T19:55:06Z,claude-sonnet-4-6,tiko,stage-1,01,86,,12347,,134,3.284
2026-06-08T19:59:03Z,claude-sonnet-4-6,tiko,stage-1,02,0,,5807,,80,1.689
2026-06-08T20:02:30Z,claude-sonnet-4-6,tiko,stage-1,03,100,,5926,,94,2.003
2026-06-08T20:05:23Z,claude-sonnet-4-6,tiko,stage-1,04,86,,6226,,88,2.075
2026-06-08T20:08:27Z,claude-sonnet-4-6,tiko,stage-1,05,0,,8024,,87,1.988
2026-06-08T20:13:28Z,claude-sonnet-4-6,tiko-mcp,stage-1,01,86,,12468,,124,2.82
2026-06-08T20:15:46Z,claude-sonnet-4-6,tiko-mcp,stage-1,02,86,,12337,,104,2.512
2026-06-08T20:17:48Z,claude-sonnet-4-6,tiko-mcp,stage-1,03,0,,10149,,107,2.428
2026-06-08T20:20:24Z,claude-sonnet-4-6,tiko-mcp,stage-1,04,100,,7081,,102,2.8
2026-06-08T20:21:48Z,claude-sonnet-4-6,tiko-mcp,stage-1,05,0,,9093,,68,1.547
2026-06-08T19:52:09Z,claude-sonnet-4-6,spring3,stage-1,01,100,,3526,,29,0.368
2026-06-11T07:22:42Z,claude-fable-5,spring,stage-1,01,100,87,3373,,40,1.975
2026-06-11T07:24:31Z,claude-fable-5,spring,stage-1,02,100,87,4999,,42,2.393
2026-06-11T07:26:20Z,claude-fable-5,spring,stage-1,03,100,87,3159,,40,1.951
2026-06-11T07:28:06Z,claude-fable-5,spring,stage-1,04,100,87,2470,,33,1.618
2026-06-11T07:29:53Z,claude-fable-5,spring,stage-1,05,100,87,2036,,31,1.487
2026-06-11T07:31:40Z,claude-fable-5,spring3,stage-1,01,100,87,2015,,26,0.928
2026-06-11T07:33:27Z,claude-fable-5,tiko,stage-1,01,100,86,3130,,57,3.962
2026-06-11T07:35:18Z,claude-fable-5,tiko,stage-1,02,100,86,9301,,56,5.115
2026-06-13T13:18:08Z,claude-fable-5,tiko,stage-1,03,100,88,3455,,60,4.013
2026-06-13T13:20:04Z,claude-fable-5,tiko,stage-1,04,100,88,5693,,53,4.056
2026-06-13T13:21:59Z,claude-fable-5,tiko,stage-1,05,100,88,8094,,61,4.839
2026-06-13T13:23:53Z,claude-fable-5,tiko-mcp,stage-1,01,100,89,1849,,19,2.917
2026-06-13T13:25:55Z,claude-fable-5,tiko-mcp,stage-1,02,100,88,613,,32,2.559
2026-06-13T13:27:54Z,claude-fable-5,tiko-mcp,stage-1,03,100,88,1219,,40,2.475
2026-06-13T13:31:44Z,claude-fable-5,tiko-mcp,stage-1,05,100,88,3738,,49,2.592
2026-06-13T14:53:25Z,claude-opus-4-8,spring,stage-1,01,0,87,2913,,34,0.886
2026-06-13T14:55:16Z,claude-opus-4-8,spring,stage-1,02,0,87,4695,,46,1.305
2026-06-13T14:57:08Z,claude-opus-4-8,spring,stage-1,03,100,87,7280,,66,3.047
2026-06-13T14:58:59Z,claude-opus-4-8,spring,stage-1,04,100,87,4272,,47,1.382
2026-06-13T15:00:49Z,claude-opus-4-8,spring,stage-1,05,100,87,3447,,51,1.463
2026-06-13T15:02:38Z,claude-opus-4-8,spring3,stage-1,01,100,87,2814,,30,0.655
2026-06-13T15:04:26Z,claude-opus-4-8,tiko,stage-1,01,86,87,3918,,66,2.314
2026-06-13T15:06:14Z,claude-opus-4-8,tiko,stage-1,02,86,87,2761,,58,2.479
2026-06-13T15:08:02Z,claude-opus-4-8,tiko,stage-1,03,100,87,3320,,75,3.198
2026-06-13T15:09:51Z,claude-opus-4-8,tiko,stage-1,04,86,87,4574,,58,2.653
2026-06-13T15:11:39Z,claude-opus-4-8,tiko,stage-1,05,86,87,1583,,55,1.795
2026-06-13T15:13:27Z,claude-opus-4-8,tiko-mcp,stage-1,01,86,87,6363,,83,4.092
2026-06-13T15:15:15Z,claude-opus-4-8,tiko-mcp,stage-1,02,86,87,4233,,79,4.119
2026-06-13T15:17:04Z,claude-opus-4-8,tiko-mcp,stage-1,03,100,87,2492,,81,3.307
2026-06-13T17:09:33Z,claude-fable-5,tiko-mcp,stage-1,04,0,88,898,,26,2.085
2026-06-13T17:11:29Z,claude-opus-4-8,tiko-mcp,stage-1,04,0,88,271,,,1.146
2026-06-13T17:13:26Z,claude-opus-4-8,tiko-mcp,stage-1,05,0,88,1724,,,2.734
2026-06-13T18:21:57Z,claude-sonnet-4-6,spring-free,stage-1,01,0,88,2967,,,0.433
2026-06-13T18:23:53Z,claude-sonnet-4-6,spring-free,stage-1,02,100,88,2844,,,0.318
2026-06-13T18:25:49Z,claude-sonnet-4-6,spring-free,stage-1,03,0,88,2487,,,0.315
2026-06-13T18:27:45Z,claude-sonnet-4-6,spring-free,stage-1,04,0,88,3228,,,0.314
2026-06-13T18:29:41Z,claude-sonnet-4-6,spring-free,stage-1,05,0,88,3132,,,0.367
2026-06-13T18:31:36Z,claude-opus-4-8,spring-free,stage-1,01,0,88,2769,,,0.689
2026-06-13T18:33:32Z,claude-opus-4-8,spring-free,stage-1,02,0,88,4664,,,1.216
2026-06-13T18:35:27Z,claude-opus-4-8,spring-free,stage-1,03,0,88,1354,,,0.713
2026-06-13T18:37:23Z,claude-opus-4-8,spring-free,stage-1,04,100,88,2243,,,0.732
2026-06-13T18:39:18Z,claude-opus-4-8,spring-free,stage-1,05,0,88,4498,,,1.111
2026-06-13T19:05:09Z,claude-sonnet-4-6,spring3-fix,stage-1,01,100,88,3048,,,0.335
2026-06-13T19:07:05Z,claude-sonnet-4-6,spring3-fix,stage-1,02,100,88,1704,,,0.3
2026-06-13T19:09:01Z,claude-sonnet-4-6,spring3-fix,stage-1,03,100,88,4192,,,0.411
2026-06-13T19:10:57Z,claude-sonnet-4-6,spring-fix,stage-1,01,0,88,4257,,,0.788
2026-06-13T19:12:53Z,claude-sonnet-4-6,spring-fix,stage-1,02,0,88,3026,,,0.362
2026-06-13T19:14:49Z,claude-sonnet-4-6,spring-fix,stage-1,03,0,89,3840,,,0.373
2026-06-13T19:16:45Z,claude-sonnet-4-6,spring-fix,stage-1,04,0,88,891,,,0.243
